Date,XIU,XBB,COW,XRE
2011-11-03,18.204082,31.01,23.189846,14.88042
2011-11-04,18.102041,31.1,23.289185,14.8504
2011-11-07,18.183674,31.12,23.34437,14.88042
2011-11-08,18.214285,31.07,23.57616,14.95047
2011-11-09,17.714285,31.21,22.935984,14.7203
2011-11-10,17.653061,31.21,22.924946,14.7103
2011-11-11,17.918367,31.08,23.211922,14.81037
2011-11-14,17.846939,31.18,23.16777,14.91044
2011-11-15,17.816326,31.17,23.388521,14.94046
2011-11-16,17.755102,31.2,23.07947,14.92044
2011-11-17,17.37755,31.22,22.461369,14.89042
2011-11-18,17.357143,31.08,22.682117,14.92044
2011-11-21,17.204082,31.17,22.49448,14.82037
2011-11-22,17.204082,31.22,22.428255,14.94046
2011-11-23,16.897959,31.19,22.240618,14.8504
2011-11-24,16.744898,31.17,22.075056,14.81037
2011-11-25,16.693878,31.05,21.942604,14.82037
2011-11-28,17,31.06,22.461369,15.0005
2011-11-29,17.112246,31,22.362032,15.01051
2011-11-30,17.806122,31.01,23.013245,15.22065
2011-12-01,17.663265,31.1,22.935984,15.18063
2011-12-02,17.612246,31.11,22.781456,15.13059
2011-12-05,17.693878,31.19,22.913908,15.17062
2011-12-06,17.581633,31.17,22.935984,15.16061
2011-12-07,17.714285,31.26,22.980133,15.19063
2011-12-08,17.387754,31.35,22.417217,15.17062
2011-12-09,17.55102,31.25,22.582781,15.19063
2011-12-12,17.32653,31.29,22.152317,15.21065
2011-12-13,17.17347,31.33,22.019869,15.2807
2011-12-14,16.887754,31.46,21.69978,15.20064
2011-12-15,16.816326,31.5,21.65563,15.27069
2011-12-16,17,31.55,21.65563,15.24067
2011-12-19,16.846939,31.62,21.467993,15.30071
2011-12-20,17.102041,31.55,22.05298,15.42079
2011-12-21,17.132652,31.54,22.05298,15.45082
2011-12-22,17.37755,31.55,22.086094,15.45082
2011-12-23,17.32653,31.47,22.119205,15.40078
2011-12-28,17.061224,31.43,21.821192,15.38077
2011-12-29,17.214285,31.49,21.865341,15.45082
2011-12-30,17.418367,31.47,21.909492,15.49084
2012-01-03,17.82653,31.38,22.339956,15.58091
2012-01-04,17.82653,31.36,22.461369,15.51086
2012-01-05,17.836735,31.41,22.704193,15.58091
2012-01-06,17.765306,31.49,22.737307,15.54088
2012-01-09,17.785715,31.49,22.759382,15.60092
2012-01-10,17.918367,31.45,23.002207,15.64095
2012-01-11,17.908163,31.52,23.068432,15.82107
2012-01-12,17.959183,31.49,23.178808,15.77104
2012-01-13,17.897959,31.53,23.421633,15.76103
2012-01-16,17.928572,31.49,23.112583,15.79105
2012-01-17,17.908163,31.57,23.289185,15.84109
2012-01-18,18.030613,31.46,23.554085,15.84109
2012-01-19,18.12245,31.4,23.620308,15.82107
2012-01-20,18.132652,31.32,23.741722,15.83108
2012-01-23,18.346939,31.26,23.763798,15.78105
2012-01-24,18.153061,31.28,23.686533,15.74102
2012-01-25,18.357143,31.23,23.830023,15.67097
2012-01-26,18.214285,31.31,23.763798,15.58091
2012-01-27,18.244898,31.36,23.863136,15.59091
2012-01-30,18.163265,31.46,23.774836,15.59091
2012-01-31,18.193878,31.5,23.476822,15.67097
2012-02-01,18.275511,31.44,23.796909,15.73101
2012-02-02,18.32653,31.43,23.830023,15.77104
2012-02-03,18.37755,31.25,23.830023,15.81107
2012-02-06,18.336735,31.4,23.75276,15.81107
2012-02-07,18.265306,31.33,23.708609,15.90113
2012-02-08,18.295918,31.24,23.874172,16.0012
2012-02-09,18.224489,31.2,23.885208,16.041229
2012-02-10,18.05102,31.34,23.830023,15.98119
2012-02-13,18.071428,31.31,23.885208,16.011209
2012-02-14,18.030613,31.35,23.686533,15.8511
2012-02-15,18.040817,31.4,23.60927,16.011209
2012-02-16,18.234694,31.33,23.830023,16.02121
2012-02-17,18.183674,31.33,24.139074,16.081261
2012-02-21,18.367348,31.26,24.337748,16.11128
2012-02-22,18.561224,31.21,24.326712,16.02121
2012-02-23,18.571428,31.24,24.271523,16.051241
2012-02-24,18.561224,31.28,24.271523,16.02121
2012-02-27,18.540817,31.29,24.271523,16.061239
2012-02-28,18.62245,31.34,24.216335,16.121281
2012-02-29,18.44898,31.27,23.907284,16.121281
2012-03-01,18.591837,31.28,24.006622,16.211349
2012-03-02,18.44898,31.34,23.863136,16.291401
2012-03-05,18.316326,31.3,23.60927,16.301411
2012-03-06,17.969387,31.34,23.002207,16.33143
2012-03-07,17.979591,31.24,23.22296,16.40148
2012-03-08,18.183674,31.25,23.476822,16.39147
2012-03-09,18.224489,31.21,23.48786,16.36145
2012-03-12,18.102041,31.3,23.311258,16.36145
2012-03-13,18.306122,31.16,23.631346,16.431499
2012-03-14,18.061224,31.05,23.675497,16.38147
2012-03-15,18.204082,30.92,23.874172,16.39147
2012-03-16,18.306122,30.87,24.205297,16.271391
2012-03-19,18.265306,30.79,24.094923,15.92114
2012-03-20,18.224489,30.84,24.083885,15.83108
2012-03-21,18.224489,30.9,24.139074,15.99119
2012-03-22,18.142857,31,23.896246,15.78105
2012-03-23,18.163265,30.93,23.973509,15.77104
2012-03-26,18.32653,30.95,24.216335,15.97118
2012-03-27,18.224489,31.01,24.183224,16.011209
2012-03-28,18.132652,31.02,24.039736,16.031219
2012-03-29,18.030613,31.1,24.01766,15.92114
2012-03-30,18.081633,31.07,24.072847,16.061239
2012-04-02,18.265306,31.1,24.216335,16.121281
2012-04-03,17.979591,30.94,24.072847,16.02121
2012-04-04,17.775511,31.03,23.929359,16.061239
2012-04-05,17.632652,31,23.763798,16.1413
2012-04-09,17.540817,31.13,23.443708,16.18133
2012-04-10,17.408163,31.25,23.090508,16.13129
2012-04-11,17.540817,31.17,23.432671,16.251381
2012-04-12,17.806122,31.15,23.708609,16.281401
2012-04-13,17.540817,31.23,23.543047,16.281401
2012-04-16,17.581633,31.18,23.498898,16.36145
2012-04-17,17.744898,31.07,23.631346,16.36145
2012-04-18,17.724489,31.08,23.48786,16.33143
2012-04-19,17.765306,31.13,23.498898,16.34144
2012-04-20,17.744898,31.06,23.587198,16.39147
2012-04-23,17.510204,30.99,23.211922,16.36145
2012-04-24,17.510204,30.93,23.289185,16.271391
2012-04-25,17.683674,30.9,23.675497,16.411489
2012-04-26,17.67347,30.91,23.730684,16.491541
2012-04-27,17.836735,30.89,23.796909,16.51156
2012-04-30,17.938776,31.03,23.653421,16.54158
2012-05-01,17.979591,30.99,23.907284,16.54158
2012-05-02,17.82653,31.03,23.907284,16.53157
2012-05-03,17.469387,31.09,23.75276,16.431499
2012-05-04,17.255102,31.25,23.532009,16.451521
2012-05-07,17.265306,31.22,23.476822,16.60162
2012-05-08,17.010204,31.27,23.48786,16.56159
2012-05-09,16.959183,31.24,23.112583,16.58161
2012-05-10,17.071428,31.26,23.134657,16.7117
2012-05-11,17.020409,31.3,23.145695,16.73171
2012-05-14,16.734694,31.3,22.814569,16.74172
2012-05-15,16.55102,31.25,22.538631,16.681681
2012-05-16,16.530613,31.3,22.516556,16.59161
2012-05-17,16.530613,31.39,22.240618,16.55159
2012-05-18,16.44898,31.38,22.041943,16.621639
2012-05-22,16.724489,31.34,22.37307,16.671671
2012-05-23,16.918367,31.33,22.516556,16.53157
2012-05-24,16.908163,31.32,22.63797,16.58161
2012-05-25,16.887754,31.48,22.549669,16.58161
2012-05-28,16.836735,31.41,22.626932,16.621639
2012-05-29,16.969387,31.35,22.803532,16.59161
2012-05-30,16.693878,31.45,22.693155,16.501551
2012-05-31,16.816326,31.53,22.626932,16.501551
2012-06-01,16.591837,31.82,22.064018,16.471531
2012-06-04,16.571428,31.67,21.96468,16.231359
2012-06-05,16.806122,31.6,22.141279,16.411489
2012-06-06,16.989796,31.45,22.428255,16.5716
2012-06-07,16.94898,31.39,22.505518,16.40148
2012-06-08,16.816326,31.47,22.63797,16.461519
2012-06-11,16.632652,31.49,22.350994,16.34144
2012-06-12,16.836735,31.47,22.516556,16.36145
2012-06-13,16.857143,31.52,22.306843,16.411489
2012-06-14,16.836735,31.47,22.350994,16.38147
2012-06-15,16.94898,31.52,22.49448,16.31142
2012-06-18,17.05102,31.49,22.604856,16.51156
2012-06-19,17.357143,31.48,23.03532,16.55159
2012-06-20,17.306122,31.46,23.024282,16.621639
2012-06-21,16.806122,31.55,22.549669,16.441509
2012-06-22,16.734694,31.4,22.571745,16.501551
2012-06-25,16.612246,31.49,22.516556,16.421499
2012-06-26,16.602041,31.42,22.626932,16.55159
2012-06-27,16.734694,31.46,23.002207,16.51156
2012-06-28,16.765306,31.52,23.22296,16.55159
2012-06-29,16.94898,31.49,23.509933,16.76173
2012-07-03,17.408163,31.45,23.565123,16.881821
2012-07-04,17.44898,31.51,23.719646,16.97188
2012-07-05,17.306122,31.59,23.620308,16.93185
2012-07-06,17.071428,31.62,23.465784,16.901831
2012-07-09,17,31.68,23.322294,16.91184
2012-07-10,16.846939,31.64,23.068432,16.851801
2012-07-11,16.887754,31.65,23.145695,16.901831
2012-07-12,16.734694,31.72,22.991169,16.92185
2012-07-13,16.857143,31.7,23.002207,17.031919
2012-07-16,16.857143,31.75,22.991169,17.18203
2012-07-17,16.94898,31.77,23.145695,17.292101
2012-07-18,16.969387,31.74,23.233995,17.282101
2012-07-19,17.061224,31.71,23.233995,17.232059
2012-07-20,16.979591,31.79,23.289185,17.412189
2012-07-23,16.87755,31.84,23.024282,17.39217
2012-07-24,16.775511,31.76,22.803532,17.34214
2012-07-25,16.785715,31.73,22.737307,17.432199
2012-07-26,16.989796,31.65,23.112583,17.58231
2012-07-27,17.214285,31.48,23.520971,17.52227
2012-07-30,17.17347,31.52,23.289185,17.472231
2012-07-31,17.040817,31.62,23.112583,17.292101
2012-08-01,16.989796,31.57,23.156733,17.262079
2012-08-02,16.836735,31.69,22.891832,17.282101
2012-08-03,17.061224,31.56,23.178808,17.31212
2012-08-07,17.37755,31.37,23.377483,17.412189
2012-08-08,17.234694,31.37,23.421633,17.36215
2012-08-09,17.336735,31.43,23.410595,17.302111
2012-08-10,17.397959,31.52,23.377483,17.272091
2012-08-13,17.32653,31.51,23.22296,17.37216
2012-08-14,17.387754,31.4,23.333332,17.412189
2012-08-15,17.418367,31.25,23.178808,17.642349
2012-08-16,17.642857,31.21,23.399559,17.702391
2012-08-17,17.744898,31.24,23.454746,17.682381
2012-08-20,17.734694,31.24,23.421633,17.7124
2012-08-21,17.755102,31.24,23.443708,17.652361
2012-08-22,17.755102,31.37,23.520971,17.642349
2012-08-23,17.62245,31.43,23.355408,17.59231
2012-08-24,17.683674,31.37,23.322294,17.56229
2012-08-27,17.642857,31.37,23.16777,17.52227
2012-08-28,17.612246,31.41,23.101545,17.472231
2012-08-29,17.653061,31.38,23.233995,17.38217
2012-08-30,17.5,31.47,23.123621,17.17202
2012-08-31,17.55102,31.49,23.07947,17.222059
2012-09-04,17.530613,31.52,22.958057,17.17202
2012-09-05,17.612246,31.51,23.245033,17.35215
2012-09-06,17.846939,31.35,23.520971,17.492241
2012-09-07,18.040817,31.33,23.642384,17.302111
2012-09-10,17.979591,31.35,23.60927,17.142
2012-09-11,17.969387,31.34,23.532009,17.041929
2012-09-12,18,31.25,23.60927,17.041929
2012-09-13,18.214285,31.28,23.818985,16.94186
2012-09-14,18.408163,31.2,24.028698,16.901831
2012-09-17,18.336735,31.25,24.094923,16.92185
2012-09-18,18.285715,31.34,24.050774,17.011909
2012-09-19,18.295918,31.39,24.238409,17.15201
2012-09-20,18.244898,31.48,24.19426,17.212049
