Date,GSPC,IXIC,DJI
2004-06-21,1130.300049000000,1974.380005000000,10371.469727000000
2004-06-22,1134.410034000000,1994.150024000000,10395.070313000000
2004-06-23,1144.060059000000,2020.979980000000,10479.570313000000
2004-06-24,1140.650024000000,2015.569946000000,10443.809570000000
2004-06-25,1134.430054000000,2025.469971000000,10371.839844000000
2004-06-28,1133.349976000000,2019.819946000000,10357.089844000000
2004-06-29,1136.199951000000,2034.930054000000,10413.429688000000
2004-06-30,1140.839966000000,2047.790039000000,10435.480469000000
2004-07-01,1128.939941000000,2015.550049000000,10334.160156000000
2004-07-02,1125.380005000000,2006.660034000000,10282.830078000000
2004-07-06,1116.209961000000,1963.430054000000,10219.339844000000
2004-07-07,1118.329956000000,1966.079956000000,10240.290039000000
2004-07-08,1109.109985000000,1935.319946000000,10171.559570000000
2004-07-09,1112.810059000000,1946.329956000000,10213.219727000000
2004-07-12,1114.349976000000,1936.920044000000,10238.219727000000
2004-07-13,1115.140015000000,1931.660034000000,10247.589844000000
2004-07-14,1111.469971000000,1914.880005000000,10208.799805000000
2004-07-15,1106.689941000000,1912.709961000000,10163.160156000000
2004-07-16,1101.390015000000,1883.150024000000,10139.780273000000
2004-07-19,1100.900024000000,1883.829956000000,10094.059570000000
2004-07-20,1108.670044000000,1917.069946000000,10149.070313000000
2004-07-21,1093.880005000000,1874.369995000000,10046.129883000000
2004-07-22,1096.839966000000,1889.060059000000,10050.330078000000
2004-07-23,1086.199951000000,1849.089966000000,9962.219727000000
2004-07-26,1084.069946000000,1839.020020000000,9961.919922000000
2004-07-27,1094.829956000000,1869.099976000000,10085.139648000000
2004-07-28,1095.420044000000,1858.260010000000,10117.070313000000
2004-07-29,1100.430054000000,1881.060059000000,10129.240234000000
2004-07-30,1101.719971000000,1887.359985000000,10139.709961000000
2004-08-02,1106.619995000000,1892.089966000000,10179.160156000000
2004-08-03,1099.689941000000,1859.420044000000,10120.240234000000
2004-08-04,1098.630005000000,1855.060059000000,10126.509766000000
2004-08-05,1080.699951000000,1821.630005000000,9963.030273000000
2004-08-06,1063.969971000000,1776.890015000000,9815.330078000000
2004-08-09,1065.219971000000,1774.640015000000,9814.660156000000
2004-08-10,1079.040039000000,1808.699951000000,9944.669922000000
2004-08-11,1075.790039000000,1782.420044000000,9938.320313000000
2004-08-12,1063.229980000000,1752.489990000000,9814.589844000000
2004-08-13,1064.800049000000,1757.219971000000,9825.349609000000
2004-08-16,1079.339966000000,1782.839966000000,9954.549805000000
2004-08-17,1081.709961000000,1795.250000000000,9972.830078000000
2004-08-18,1095.170044000000,1831.369995000000,10083.150391000000
2004-08-19,1091.229980000000,1819.890015000000,10040.820313000000
2004-08-20,1098.349976000000,1838.020020000000,10110.139648000000
2004-08-23,1095.680054000000,1838.699951000000,10073.049805000000
2004-08-24,1096.189941000000,1836.890015000000,10098.629883000000
2004-08-25,1104.959961000000,1860.719971000000,10181.740234000000
2004-08-26,1105.089966000000,1852.920044000000,10173.410156000000
2004-08-27,1107.770020000000,1862.089966000000,10195.009766000000
2004-08-30,1099.150024000000,1836.489990000000,10122.519531000000
2004-08-31,1104.239990000000,1838.099976000000,10173.919922000000
2004-09-01,1105.910034000000,1850.410034000000,10168.459961000000
2004-09-02,1118.310059000000,1873.430054000000,10290.280273000000
2004-09-03,1113.630005000000,1844.479980000000,10260.200195000000
2004-09-07,1121.300049000000,1858.560059000000,10342.790039000000
2004-09-08,1116.270020000000,1850.640015000000,10313.360352000000
2004-09-09,1118.380005000000,1869.650024000000,10289.099609000000
2004-09-10,1123.920044000000,1894.310059000000,10313.070313000000
2004-09-13,1125.819946000000,1910.380005000000,10314.759766000000
2004-09-14,1128.329956000000,1915.400024000000,10318.160156000000
2004-09-15,1120.369995000000,1896.520020000000,10231.360352000000
2004-09-16,1123.500000000000,1904.079956000000,10244.490234000000
2004-09-17,1128.550049000000,1910.089966000000,10284.459961000000
2004-09-20,1122.199951000000,1908.069946000000,10204.889648000000
2004-09-21,1129.300049000000,1921.180054000000,10244.929688000000
